fold,model,RMSE,MAE,R2,Adj_R2,MAPE_pct,Explained_Var
13,Lasso (LassoCV),0.6190928359543115,0.4283351446408562,0.7121370905095283,0.707709792609029,24.691742200978915,0.7152982782454425
13,Elastic Net (ElasticNetCV),0.6197816426657272,0.4304148701018102,0.7114961778794018,0.7070590228175655,24.832042347090848,0.7148884236705007
13,XGBoost (tuned),0.4926495583494677,0.3204877871105501,0.8177152448397775,0.8149117266121518,17.641147518045692,0.8192763927842988
13,HuberRegressor (robust),0.6175251130774548,0.41136062569921056,0.7135931495839616,0.7091882457018324,23.286308708682636,0.7170516609284701
14,Linear Regression,0.5975870316709919,0.4109686133136329,0.73386218311515,0.7297690145995417,23.381211072366447,0.7364715060145364
14,Ridge (RidgeCV),0.6003156685012875,0.41654202579707983,0.7314262153205486,0.7272955819049927,23.73121936167427,0.7346247453386492
14,Lasso (LassoCV),0.6103688604942905,0.4242016900573512,0.7223555481642545,0.7180854089480788,24.20622880108512,0.7262809995921716
14,Elastic Net (ElasticNetCV),0.6103688604942905,0.4242016900573512,0.7223555481642545,0.7180854089480788,24.20622880108512,0.7262809995921716
14,XGBoost (tuned),0.4850453434489709,0.31686218701029506,0.8246648695325294,0.8219682357203566,16.99411233733521,0.8260139285498717
14,HuberRegressor (robust),0.6014531453106439,0.40974864874445355,0.7304074650372518,0.7262611633614175,22.708488466140842,0.7350448691388645
15,Linear Regression,0.6086967849422761,0.41645173162828625,0.7216100650776971,0.7173284604187875,23.668398392984777,0.7247569685906748
15,Ridge (RidgeCV),0.6234739818864208,0.42937082739938726,0.7079291711352071,0.7034371559265822,24.625133470292127,0.7121350483316065
15,Lasso (LassoCV),0.6251963778830654,0.42966117463027304,0.7063132047446354,0.7017963361618091,24.647681945397146,0.710466364356138
15,Elastic Net (ElasticNetCV),0.6251963778830654,0.42966117463027304,0.7063132047446354,0.7017963361618091,24.647681945397146,0.710466364356138
15,XGBoost (tuned),0.49512316290913283,0.3258924672759769,0.8158049301284532,0.8129720314838585,17.876567104494406,0.8166597347634432
15,HuberRegressor (robust),0.6194527742707169,0.4178653952264399,0.7116845481792804,0.7072502902306381,23.1412807700294,0.7171039754777084
